DATE,stockprice,year,month
1/1/03,877.7275085,2003,1
2/1/03,841.94500725,2003,2
3/1/03,843.53251625,2003,3
4/1/03,884.2974855,2003,4
5/1/03,937.180008,2003,5
6/1/03,979.25251775,2003,6
7/1/03,985.57998675,2003,7
8/1/03,992.54251125,2003,8
9/1/03,1008.65750125,2003,9
10/1/03,1024.1099855,2003,10
11/1/03,1050.93997175,2003,11
12/1/03,1084.022522,2003,12
1/1/04,1125.8775025,2004,1
2/1/04,1139.87246675,2004,2
3/1/04,1130.384979,2004,3
4/1/04,1122.827484,2004,4
5/1/04,1108.01000975,2004,5
6/1/04,1130.294983,2004,6
7/1/04,1115.544983,2004,7
8/1/04,1094.0899965,2004,8
9/1/04,1112.38500975,2004,9
10/1/04,1119.27999875,2004,10
11/1/04,1155.0199585,2004,11
12/1/04,1194.2025145,2004,12
1/1/05,1193.68502825,2005,1
2/1/05,1194.564972,2005,2
3/1/05,1194.247467,2005,3
4/1/05,1166.36749275,2005,4
5/1/05,1173.52252225,2005,5
6/1/05,1197.67999275,2005,6
7/1/05,1213.55252075,2005,7
8/1/05,1225.35998525,2005,8
9/1/05,1224.404999,2005,9
10/1/05,1209.3399965,2005,10
11/1/05,1232.04998775,2005,11
12/1/05,1255.0400085,2005,12
1/1/06,1267.25250225,2006,1
2/1/06,1277.97998025,2006,2
3/1/06,1288.7075195,2006,3
4/1/06,1303.0975035,2006,4
5/1/06,1288.184967,2006,5
6/1/06,1262.55502325,2006,6
7/1/06,1262.920044,2006,7
8/1/06,1287.5975035,2006,8
9/1/06,1317.715027,2006,9
10/1/06,1357.5774535,2006,10
11/1/06,1386.8150025,2006,11
12/1/06,1409.16754175,2006,12
1/1/07,1425.46249375,2007,1
2/1/07,1423.92749,2007,2
3/1/07,1407.63250725,2007,3
4/1/07,1454.3974915,2007,4
5/1/07,1506.3125,2007,5
6/1/07,1514.677521,2007,6
7/1/07,1492.5200195,2007,7
8/1/07,1450.91500875,2007,8
9/1/07,1494.6849975,2007,9
10/1/07,1535.58001725,2007,10
11/1/07,1494.70501725,2007,11
12/1/07,1476.80249,2007,12
1/1/08,1397.08502225,2008,1
2/1/08,1355.50000025,2008,2
3/1/08,1317.452484,2008,3
4/1/08,1360.2299805,2008,4
5/1/08,1399.914978,2008,5
6/1/08,1338.917511,2008,6
7/1/08,1259.16998275,2008,7
8/1/08,1278.21249375,2008,8
9/1/08,1215.912506,2008,9
10/1/08,1034.93751525,2008,10
11/1/08,903.36000075,2008,11
12/1/08,881.59999075,2008,12
1/1/09,869.25498975,2009,1
2/1/09,791.927521,2009,2
3/1/09,756.80249,2009,3
4/1/09,834.605011,2009,4
5/1/09,897.037491,2009,5
6/1/09,921.9174955,2009,6
7/1/09,943.57499675,2009,7
8/1/09,1007.20498675,2009,8
9/1/09,1037.17999275,2009,9
10/1/09,1053.102493,2009,10
11/1/09,1068.72000125,2009,11
12/1/09,1107.56500275,2009,12
1/1/10,1103.11749275,2010,1
2/1/10,1083.82501225,2010,2
3/1/10,1140.20999125,2010,3
4/1/10,1187.10247775,2010,4
5/1/10,1130.975006,2010,5
6/1/10,1069.3924865,2010,6
7/1/10,1066.139969,2010,7
8/1/10,1081.4499815,2010,8
9/1/10,1099.44998175,2010,9
10/1/10,1163.6900025,2010,10
11/1/10,1191.5849915,2010,11
12/1/10,1223.35998575,2010,12
1/1/11,1276.00750725,2011,1
2/1/11,1312.39248675,2011,2
3/1/11,1308.95001225,2011,3
4/1/11,1338.08749375,2011,4
5/1/11,1348.19747925,2011,5
6/1/11,1317.27746575,2011,6
7/1/11,1313.06500225,2011,7
8/1/11,1230.10000625,2011,8
9/1/11,1173.51251225,2011,9
10/1/11,1187.985016,2011,10
11/1/11,1233.542511,2011,11
12/1/11,1244.0625,2011,12
1/1/12,1290.89999375,2012,1
2/1/12,1342.15499875,2012,2
3/1/12,1383.387512,2012,3
4/1/12,1396.53500375,2012,4
5/1/12,1353.87246675,2012,5
6/1/12,1325.557495,2012,6
7/1/12,1364.6999815,2012,7
8/1/12,1391.807495,2012,8
9/1/12,1429.570038,2012,9
10/1/12,1431.825012,2012,10
11/1/12,1401.50000025,2012,11
12/1/12,1422.159973,2012,12
1/1/13,1465.107452,2013,1
2/1/13,1507.1849975,2013,2
3/1/13,1538.907501,2013,3
4/1/13,1575.08749375,2013,4
5/1/13,1624.1875305,2013,5
6/1/13,1613.12747175,2013,6
7/1/13,1649.714996,2013,7
8/1/13,1664.8825075,2013,8
9/1/13,1670.19250475,2013,9
10/1/13,1715.16000375,2013,10
11/1/13,1781.0650025,2013,11
12/1/13,1818.08499125,2013,12
1/1/14,1812.434967,2014,1
2/1/14,1811.99252325,2014,2
3/1/14,1862.107483,2014,3
4/1/14,1867.3874815,2014,4
5/1/14,1897.94500725,2014,5
6/1/14,1942.06249975,2014,6
7/1/14,1953.7550355,2014,7
8/1/14,1960.747528,2014,8
9/1/14,1989.9150085,2014,9
10/1/14,1957.08499125,2014,10
11/1/14,2040.63501,2014,11
12/1/14,2047.69750975,2014,12
1/1/15,2028.5924985,2015,1
2/1/15,2050.415039,2015,2
3/1/15,2082.5824585,2015,3
4/1/15,2081.8599245,2015,4
5/1/15,2099.35491975,2015,5
6/1/15,2089.48504625,2015,6
7/1/15,2086.920044,2015,7
8/1/15,2014.0849915,2015,8
9/1/15,1945.7225035,2015,9
10/1/15,1996.7575375,2015,10
11/1/15,2074.25997925,2015,11
12/1/15,2056.09997575,2015,12
1/1/16,1957.23248275,2016,1
2/1/16,1910.5574645,2016,2
3/1/16,2001.53247075,2016,3
4/1/16,2066.692566,2016,4
5/1/16,2073.37747175,2016,5
6/1/16,2076.25753775,2016,6
7/1/16,2131.0125735,2016,7
8/1/16,2171.3724975,2016,8
9/1/16,2161.647583,2016,9
10/1/16,2143.70001225,2016,10
11/1/16,2156.345032,2016,11
12/1/16,2225.9924925,2016,12
1/1/17,2269.1400145,2017,1
